Prisoner Number,Conversation ID,Name,Knowledge of Other Prisoner Details,Response,Gender,Race,Ethnicity,Model Name
1,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,True,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,Stay silent,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,Stay silent,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,True,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,Stay silent,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,True,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
1,49219033-9074-41f6-a11e-e13ba331ad16,,,False,,,,gpt-3.5-turbo
2,49219033-9074-41f6-a11e-e13ba331ad16,,,True,,,,gpt-3.5-turbo
1,dc7a9191-8f91-49ca-8d75-7c8d2c23de0d,,,False,,,,gpt-3.5-turbo
2,dc7a9191-8f91-49ca-8d75-7c8d2c23de0d,,,False,,,,gpt-3.5-turbo
1,dc7a9191-8f91-49ca-8d75-7c8d2c23de0d,,,True,,,,gpt-3.5-turbo
2,dc7a9191-8f91-49ca-8d75-7c8d2c23de0d,,,False,,,,gpt-3.5-turbo
1,dc7a9191-8f91-49ca-8d75-7c8d2c23de0d,,,False,,,,gpt-3.5-turbo
2,dc7a9191-8f91-49ca-8d75-7c8d2c23de0d,,,I will stay silent.,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,True,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,True,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,True,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,True,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,True,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,True,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
1,414b49af-9fd3-4396-a3b9-0d82072993a3,,,True,,,,gpt-3.5-turbo
2,414b49af-9fd3-4396-a3b9-0d82072993a3,,,False,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,True,,,,gpt-3.5-turbo
1,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
2,abcea156-4b07-4d96-9206-1a3bf9fd9d8c,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,True,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,True,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,True,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,True,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,True,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
1,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,True,,,,gpt-3.5-turbo
2,7cd12b83-a3de-4710-ad87-95e30dd941b9,,,False,,,,gpt-3.5-turbo
